Query_num_cells,Ref_num_cells,Method,reference building,query mapping,de novo integration
1000,20000,Symphony,61.667,0.056,167.558
1000,50000,Symphony,419.6,0.163,490.889
1000,100000,Symphony,1411.927,0.082,391.786
1000,250000,Symphony,4374.974,0.070,7058.002
1000,500000,Symphony,21093.27,0.195,8895.052
10000,20000,Symphony,177.539,2.249,67.431
10000,50000,Symphony,447.894,1.996,493.657
10000,100000,Symphony,990.855,1.382,1459.878
10000,250000,Symphony,6775.721,1.715,4117.026
10000,500000,Symphony,10189.41,1.180,10243.75
100000,20000,Symphony,173.493,43.261,512.148
100000,50000,Symphony,163.667,13.535,2323.836
100000,100000,Symphony,485.216,13.4,1074.483
100000,250000,Symphony,3972.34,31.683,10031.27
100000,500000,Symphony,16781.98,46.042,16520.88
1000,20000,scArches,919.205,4.980392,698.4887
1000,50000,scArches,8908.7035,8.132626,6240.8065
1000,100000,scArches,61663.6698,21.394529,50170.3565
1000,250000,scArches,,,
1000,500000,scArches,,,
10000,20000,scArches,596.6031,100.052322,1866.4176
10000,50000,scArches,5629.1134,142.920386,12379.7099
10000,100000,scArches,40529.6765,156.721269,80063.6504
10000,250000,scArches,,,
10000,500000,scArches,,,
100000,20000,scArches,727.9022,38120.23647,67454.4344
100000,50000,scArches,12598.0562,70715.10232,
100000,100000,scArches,,,
100000,250000,scArches,,,
100000,500000,scArches,,,
1000,20000,Seurat,754.823,19.963,894.035
1000,50000,Seurat,5484.759,49.384,6926.435
1000,100000,Seurat,,,
1000,250000,Seurat,,,
1000,500000,Seurat,,,
10000,20000,Seurat,768.275,133.855,1874.398
10000,50000,Seurat,6080.779,321.077,
10000,100000,Seurat,,,
10000,250000,Seurat,,,
10000,500000,Seurat,,,
100000,20000,Seurat,784.617,1486.463,
100000,50000,Seurat,5704.96,3323.411,
100000,100000,Seurat,,,
100000,250000,Seurat,,,
100000,500000,Seurat,,,